Transportadora,Localidade,Sigla do Ponto,Ponto Zona (sigla),Fluxo,Município,UF,Vazão Mensurável Mínima (Mm³/d),Vazão Mensurável Máxima (Mm³/d),Pressão de Recebimento Mínima (Kgf/cm2),Pressão de Recebimento Máxima (Kgf/cm2),Capacidade Técnica do Ponto (Mil m³/dia),Capacidade Comercial da Zona (Mil m³/dia),Capacidade Disponível da Zona (Mil m³/dia),Capacidade Contratada da Zona (Mil m³/dia),Tarifa Referência (R$/MMBtu)
NTS,GNL BG,GNL,GNL,Entrada,Duque de Caxias,RJ,1500.0,30000.0,58.0,100.0,30000.0,30000.0,15000.0,15000.0,5.5358
NTS,Guararema,GUA,GUA,Entrada,Guararema,SP,1500.0,15000.0,45.0,65.0,15000.0,7000.0,3000.0,4000.0,0.5317
NTS,PTR Caraguatatuba,GCA,CAR,Entrada,Caraguatatuba,SP,7500.0,20000.0,70.0,100.0,20000.0,3113.0,3111.0,2.0,6.1826
NTS,PTR ITABORAÍ,ITA,ITA,Entrada,ITABORAÍ,RJ,2000.0,18200.0,60.0,100.0,18200.0,18200.0,17099.0,1101.0,5.6805
NTS,PTR REPLAN - Interconexão,RPL,RPL,Entrada,Paulínia,SP,500.0,15000.0,55.0,100.0,15000.0,15000.0,14989.94,10.06,0.5715
NTS,Paulínia,PAUL,PLN,Entrada,Paulínia,SP,50.0,5000.0,65.0,100.0,1250000.0,1137.0,972.45,164.55,0.5715
NTS,Capuava,CAPU,SP3,Saída,Mauá,SP,1300.0,6000.0,15.8,18.4,6000.0,8637.0,2422.93,6214.07,3.3356
NTS,Cubatão II,CUBII,SP4,Saída,Cubatão,SP,300.0,1500.0,17.0,25.0,1500.0,3810.0,710.58,3099.42,3.3356
NTS,LORENA,LORENA,SP1,Saída,Lorena,SP,35.0,160.0,15.8,18.4,105.0,1308.0,496.65,811.35,3.3356
NTS,PINDAMONHANGABA II,PINDAM,SP1,Saída,Pindamonhangaba,SP,200.0,1500.0,15.8,18.4,1095.0,1308.0,496.65,811.35,3.3356
NTS,PTE  VOLTA REDONDA,VRE,RJ3,Saída,Volta Redonda,RJ,400.0,1800.0,14.5,17.0,1800.0,2173.0,999.01,1173.99,2.8166
NTS,PTE BARBACENA,BAR,MG2,Saída,BARBACENA,MG,29.0,240.0,33.0,38.0,240.0,1717.0,341.8,1375.2,3.5503
NTS,PTE BARRA MANSA II,MAN,RJ3,Saída,Barra Mansa,RJ,200.0,450.0,28.0,34.0,450.0,2173.0,999.01,1173.99,2.8166
NTS,PTE BETIM II,BETII,MG3,Saída,Betim,MG,250.0,2500.0,33.0,38.0,2500.0,3128.0,180.81,2947.19,3.5503
NTS,PTE BRAGANÇA PAULISTA,BRA,SP1,Saída,Bragança Paulista,SP,22.0,450.0,31.5,36.8,450.0,1308.0,496.65,811.35,3.3356
NTS,PTE BRUMADINHO,BRU,MG3,Saída,Brumadinho,MG,70.0,700.0,33.0,38.0,700.0,3128.0,180.81,2947.19,3.5503
NTS,PTE CAÇAPAVA,CAÇ,SP1,Saída,Caçapava,SP,200.0,1000.0,15.8,18.4,1000.0,1308.0,496.65,811.35,3.3356
NTS,PTE CIDADE DO AÇO,AÇO,RJ3,Saída,Volta Redonda,RJ,80.0,400.0,31.5,36.8,400.0,2173.0,999.01,1173.99,2.8166
NTS,PTE CRUZEIRO,CRU,SP1,Saída,SP/Silveiras,SP,11.0,50.0,15.8,18.4,50.0,1308.0,496.65,811.35,3.3356
NTS,PTE DUQUE DE CAXIAS,DQC,RJ1,Saída,Duque de Caxias,RJ,300.0,1500.0,31.5,36.8,1500.0,10018.0,2195.45,7822.55,2.8166
NTS,PTE GUAPIMIRIM,GUA,RJ1,Saída,GUAPIMIRIM,RJ,240.0,1000.0,38.0,43.0,1000.0,10018.0,2195.45,7822.55,2.8166
NTS,PTE GUARATINGUETÁ,GRT,SP1,Saída,Lorena,SP,170.0,1500.0,31.5,36.8,1500.0,1308.0,496.65,811.35,3.3356
NTS,PTE JACUTINGA,JAC,MG4,Saída,Jacutinga,MG,50.0,1250.0,33.0,38.0,1250.0,1179.0,1023.4,155.6,3.5503
NTS,PTE JAPERI I,JAPI,RJ2,Saída,Japeri,RJ,540.0,4800.0,38.0,43.0,4800.0,6362.0,720.94,5641.06,2.8166
NTS,PTE JAPERI II,JAPII,RJ2,Saída,Japeri,RJ,520.0,5200.0,38.0,43.0,5200.0,6362.0,720.94,5641.06,2.8166
NTS,PTE JUIZ DE FORA,JFORA,MG1,Saída,Juiz de Fora,MS,140.0,650.0,33.0,38.0,650.0,683.0,223.33,459.67,3.5503
NTS,PTE PARACAMBI,PAR,RJ3,Saída,Paracambi,RJ,24.0,240.0,34.0,43.0,240.0,2173.0,999.01,1173.99,2.8166
NTS,PTE PIRAÍ,PIR,RJ3,Saída,Piraí,RJ,96.0,450.0,34.0,37.0,450.0,2173.0,999.01,1173.99,2.8166
NTS,PTE RECAP II,REPII,SP3,Saída,Mauá,SP,80.0,800.0,17.5,33.0,800.0,8637.0,2422.93,6214.07,3.3356
NTS,PTE REDUC,RED,RJ5,Saída,Duque de Caxias,RJ,500.0,5000.0,50.0,65.0,5000.0,2571.0,503.0,2068.0,2.8166
NTS,PTE REGAP,REG,MG3,Saída,Betim,MG,60.0,560.0,24.5,33.0,560.0,3128.0,180.81,2947.19,3.5503
NTS,PTE REGAP II,REGII,MG3,Saída,Betim,MG,380.0,1520.0,33.0,38.0,1520.0,3128.0,180.81,2947.19,3.5503
NTS,PTE RESENDE II,RESII,RJ4,Saída,Resende,RJ,100.0,1000.0,32.0,36.0,1000.0,431.0,151.0,280.0,2.8166
NTS,PTE RIO DAS FLORES,RIO,RJ5,Saída,RIO DAS FLORES,RJ,24.0,300.0,30.0,65.0,300.0,2571.0,503.0,2068.0,2.8166
NTS,PTE RPBC,RPBC,SP4,Saída,CUBATÃO,SP,440.0,4400.0,27.0,50.0,4400.0,3810.0,710.58,3099.42,3.3356
NTS,PTE SÃO BRÁS DO SUAÇUI II,SBS,MG2,Saída,SÃO BRÁS DO SUAÇUI,MG,290.0,2900.0,33.0,43.0,2900.0,1717.0,341.8,1375.2,3.5503
NTS,PTE TERMORIO I (UTE GLB),TERI,RJ1,Saída,Duque de Caxias,RJ,500.0,5400.0,38.0,44.0,5400.0,10018.0,2195.45,7822.55,2.8166
NTS,PTE TERMORIO II (CEG METROPOLITANO),TERII,RJ1,Saída,Duque de Caxias,RJ,500.0,5400.0,27.0,30.0,5400.0,10018.0,2195.45,7822.55,2.8166
NTS,PTE UTE BAIXADA FLUMINENSE,BAI,RJ2,Saída,Japeri,RJ,450.0,2900.0,38.0,43.0,2900.0,6362.0,720.94,5641.06,2.8166
NTS,PTE UTE Cubatão (UTE Euzébio Rocha),CUB,SP4,Saída,CUBATÃO,SP,300.0,1560.0,31.5,36.5,1560.0,3810.0,710.58,3099.42,3.3356
NTS,PTE UTE IBIRITÉ (UTE Aureliano Chaves),IBI,MG3,Saída,Betim,MG,300.0,3000.0,37.0,65.0,3000.0,3128.0,180.81,2947.19,3.5503
